customer_id,full_name,gender,age_band,city,loyalty_tier,registered_on
501,Obinna Eze,M,45-54,Lagos,Platinum,2025-01-13
502,Femi Garba,M,55+,Abuja,Bronze,2022-08-14
503,Chidinma Popoola,F,45-54,Lagos,Silver,2022-11-29
504,Kemi Okafor,F,25-34,Abuja,Silver,2024-03-08
505,Femi Umeh,F,55+,Abuja,Gold,2022-05-02
506,Yemi Bello,F,35-44,Ibadan,Bronze,2023-09-14
507,Hauwa Okafor,M,25-34,Lagos,Platinum,2022-02-05
508,Wale Yusuf,F,18-24,Abuja,Bronze,2023-02-09
509,Ifeoma Okafor,M,35-44,Lagos,Silver,2025-05-13
510,Wale Sanni,F,55+,Ibadan,Silver,2024-06-24
511,Chidinma Bello,M,35-44,Abuja,Silver,2023-10-01
512,Ifeoma Lawal,F,35-44,Abuja,Platinum,2023-12-02
513,Josephine Balogun,M,45-54,Lagos,Platinum,2022-04-12
514,Esther Sanni,M,25-34,Abuja,Gold,2022-04-29
515,Emeka Chukwuemeka,M,18-24,Abuja,Gold,2024-07-10
516,Emeka Obi,M,45-54,Ibadan,Silver,2024-05-01
517,Uche Kalu,M,35-44,Lagos,Gold,2024-11-23
518,Halima Chukwuemeka,M,55+,Abuja,Bronze,2022-11-05
519,Tunde Kalu,M,18-24,Lagos,Silver,2022-09-20
520,Ngozi Nwosu,M,35-44,Abuja,Bronze,2024-09-10
521,Ngozi Chukwuemeka,F,18-24,Ibadan,Gold,2022-02-08
522,Hauwa Bello,M,45-54,Lagos,Bronze,2024-06-20
523,Chioma Jibrin,M,18-24,Ibadan,Platinum,2024-12-12
524,Tobi Lawal,F,25-34,Abuja,Gold,2023-09-29
525,Femi Eleyinmi,F,18-24,Ibadan,Gold,2024-08-14
526,Chioma Dauda,M,35-44,Lagos,Silver,2022-08-05
527,Grace Eleyinmi,F,45-54,Ibadan,Bronze,2024-06-30
528,Yemi Ibrahim,M,45-54,Ibadan,Platinum,2023-05-02
529,Kabir Abubakar,F,55+,Lagos,Platinum,2022-01-22
530,Ifeoma Adewale,M,55+,Lagos,Gold,2024-02-10
531,Ada Okafor,F,35-44,Abuja,Bronze,2023-06-10
532,Aisha Folarin,M,25-34,Abuja,Bronze,2023-11-06
533,Grace Abubakar,F,35-44,Ibadan,Platinum,2023-11-11
534,Zainab Lawal,F,45-54,Lagos,Bronze,2022-10-16
535,Amaka Bello,M,25-34,Ibadan,Silver,2023-01-04
536,Hauwa Ibrahim,M,45-54,Lagos,Platinum,2025-04-28
537,Grace Sanni,M,18-24,Lagos,Bronze,2022-11-18
538,Hauwa Egwu,M,45-54,Abuja,Bronze,2023-12-01
539,Daniel Chukwuemeka,F,55+,Lagos,Silver,2022-10-31
540,Daniel Yusuf,F,45-54,Abuja,Platinum,2025-06-29
541,Ruth Abubakar,M,45-54,Ibadan,Gold,2023-05-17
542,Hauwa Popoola,M,35-44,Abuja,Silver,2023-12-02
543,Ikenna Mohammed,F,45-54,Lagos,Platinum,2023-02-24
544,Bola Jibrin,F,35-44,Lagos,Silver,2023-06-04
545,Aisha Eze,F,55+,Lagos,Gold,2025-06-07
546,Victor Eleyinmi,M,55+,Ibadan,Silver,2024-11-22
547,Chioma Hassan,M,55+,Lagos,Silver,2022-06-20
548,Ngozi Mohammed,M,25-34,Abuja,Platinum,2023-11-15
549,Ikenna Abubakar,F,18-24,Abuja,Gold,2024-08-06
550,Ruth Chukwuemeka,M,45-54,Ibadan,Silver,2023-05-04
551,Musa Dauda,M,55+,Abuja,Silver,2023-11-17
552,Zainab Mohammed,M,18-24,Lagos,Gold,2024-01-15
553,Ngozi Sanni,M,55+,Abuja,Silver,2023-01-16
554,Hauwa Akinola,M,45-54,Lagos,Platinum,2023-01-04
555,Patience Lawal,M,35-44,Ibadan,Platinum,2025-06-13
556,Halima Idowu,M,25-34,Lagos,Platinum,2024-08-16
557,Amaka Yusuf,M,25-34,Ibadan,Platinum,2022-08-31
558,Tunde Popoola,F,25-34,Abuja,Silver,2023-06-24
559,Grace Jibrin,M,55+,Abuja,Bronze,2022-03-19
560,Victor Lawal,M,45-54,Abuja,Bronze,2024-08-20
561,Halima Jibrin,F,45-54,Ibadan,Platinum,2023-07-31
562,Yemi Balogun,F,45-54,Ibadan,Platinum,2024-06-07
563,Daniel Idowu,M,55+,Lagos,Gold,2024-12-11
564,Ada Sanni,F,45-54,Lagos,Gold,2022-04-22
565,Femi Chukwuemeka,F,55+,Abuja,Platinum,2025-05-08
